GAMOUS,BURIALSQUARE,NORS,SQ2,EORW,AREA,BURIALNUM,WESTTOHEAD,WESTTOFEET,SOUTHTOHEAD,SOUTHTOFEET,DEPTH,PRESERVATION,BURIALICON,BURIALICON2,SEX,SEXMETHOD,AGEATDEATH,AGEMETHOD,HAIRCOLOR,SAMPLE
218,160,N,10,E,SE,10,1.45,1.75,0.75,0.65,0.57,wrapped,W,C,S,skul,infant,skul,br-red,Y
219,160,N,10,E,SE,11,1.68,2.38,0.7,0.64,0.66,wrapped,W,C,F,pelv,3-4 years,skul,brown,Y
220,160,N,10,E,SE,12,2.25,3,1.75,1.55,0.95,well-wrapped,W,C,S,skul,3-4 years,skul,,
221,160,N,10,E,SE,13,2.1,3.08,1.65,1.55,1.05,wrapped,W,C,F,pelv,6 years,skul,,
222,160,N,10,E,SE,14,4.05,4.4,2.9,2.95,1.05,poorly preserved,H,C,S,skul,Newborn,skul,brown,Y
223,160,N,10,E,SE,15,3.3,4.38,2.8,2.65,1,wrapped - bones showing,H,C,S,skul,6 years,skul,,
224,160,N,10,E,SE,16,2.87,4.55,3.2,2.85,1,wrapped - bones showing,H,A,M,skul,30-35 yrs,skul,dkbrwn,Y
225,160,N,10,E,SE,17,3.25,3.6,1.47,2.85,1,wrapped,W,C,S,skul,Infant,skul,dkbrwn,Y
226,160,N,10,E,SE,18,1.6,2.25,3.25,3.11,1,wrapped - bones showing,H,C,S,skul,18 months,skul,red,Y
227,160,N,10,E,SE,19,0.77,2.35,2.35,2.04,0.84,poorly preserved,H,A,F,pelv,25-35,skul,dkbrwn,Y
228,160,N,10,E,SE,20,3.24,4,0.75,0.55,0.9,poorly preserved,B,C,S,skul,5 years,skul,,
229,160,N,10,E,SE,21,3.35,4,0.95,0.7,0.95,poorly preserved,B,C,S,skul,6 months,skul,,
230,160,N,10,E,SE,22,3.02,4.44,2.3,2.07,0.74,wrapped - bones showing,H,A,F,pelv,50+,skul,br-red,Y
231,160,N,10,E,SE,23,3.06,3.17,2.09,2.04,0.76,wrapped,W,C,S,skul,Infant,skul,brown,Y
232,160,N,10,E,SE,24,3.34,3.94,2.02,1.91,0.76,poorly preserved,H,C,S,skul,5 years,skul,brown,Y
233,160,N,10,E,SE,25,0.82,0.8,3.78,3.8,1.12,wrapped,W,A,M,pelv,45+,skul,,
234,160,N,10,E,SE,26,3.1,3.85,0.5,0.3,0.85,wrapped,W,C,S,skul,5-6 years,skul,,
235,160,N,10,E,SE,27,1.9,2.68,1.28,1.06,0.9,scattered bones,B,C,S,,,,,
236,160,N,10,E,SE,28,0.88,2.5,0.87,0.43,0.9,wrapped,W,A,M,pelv,45+,skul,Blond,Y
237,160,N,10,E,SE,29,1.86,3.12,1.02,0.62,1.1,wrapped,W,C,S,pelv,15 years,skul,brown,Y
238,160,N,10,E,SE,30,0,0.93,0.92,0.67,0.83,wrapped,W,C,S,pelv,4-5 years,skul,ltbrwn,Y
239,160,N,10,E,SE,31,3.32,4.06,3.28,3.1,1.13,wrapped,W,C,S,pelv,18 months,skul,brown,Y
240,160,N,10,E,SE,32,1.88,2.57,4.78,4.65,0.76,poorly preserved,H,C,S,skul,2 years,skul,ltbrwn,Y
241,160,N,10,E,SE,33,2.14,2.96,4.19,4.11,1.02,wrapped,W,A,F,pelv,15-18?,skul,Red,Y
242,160,N,10,E,SE,34,1.02,2.74,2.69,2.41,1.04,wrapped,W,A,F,pelv,35+,skul,black,Y
243,160,N,10,E,SE,35,0.78,2.55,2.25,2.02,1.16,poorly preserved,H,A,M,pelv,50,skul,,
244,160,N,10,E,SE,36,0,0,0,0,0,wrapped,W,C,S,skul,4-5 years,skul,ltbrwn,Y
245,160,N,10,E,SE,37,0.76,2.44,4.03,3.71,1.28,wrapped,W,A,M,pelv,45-65 yrs,skul,Blond,Y
246,160,N,10,E,SE,38,1.34,2.66,2.7,2.66,1.17,wrapped,W,C,S,skul,10-11 years,skul,Black,Y
247,160,N,10,E,SE,39,1.08,2.49,2.7,2.85,1.24,wrapped,W,C,S,skul,15-18,skul,dkbrwn,Y
248,160,N,10,E,SE,40,1.14,2.49,3.96,3.4,1.53,poorly preserved,H,A,F,pelv,45-60,skul,Blond,Y
249,160,N,10,E,SE,41,0.98,2.57,4.35,3.61,1.65,poorly preserved,W,A,M,pelv,35 yrs,skul,dkbrwn,Y
250,160,N,10,E,SE,42,2.1,2.72,2.38,2.41,1.6,poorly preserved,H,C,S,skul,6 months,skul,,
251,160,N,10,E,SE,43,2.3,0.9,2.72,2.82,1.84,poorly preserved,B,A,M,pelv,40+,skul,,N
252,160,N,10,E,SE,44,2.51,0.72,3.95,4.55,2.19,SKELETON,B,A,F,pelv,35-45,skul,brown,Y
253,160,N,10,E,SE,45,3.3,5.04,4.37,3.5,1.6,well-wrapped,W,A,M,pelv,30-40 yrs,skul,dkbrwn,Y
254,160,N,10,E,SE,46,3.35,5,4.2,3.5,1.7,well-wrapped,W,A,M,pelv,30-35 years,skul,,
255,160,N,10,E,SE,47,4.57,5.03,3.95,3.8,1.7,poorly preserved,H,C,S,skul,4-5 yrs,skul,br-red,Y
256,160,N,10,E,SE,48,2.68,1.78,2.95,3.15,2,poorly preserved,B,C,S,skul,9-10 yrs,skul,dkbrwn,Y
257,160,N,10,E,SE,49,0.9,2.25,4.5,4.05,1.84,poorly preserved,B,A,F,pelv,30-35 years,skul,,
258,160,N,10,E,SE,50,2.14,0.77,1.92,2.41,2.64,SKELETON,B,A,F,pelv,55+,skul,,
259,160,N,10,E,SE,51,2.82,4.31,2.32,2.67,2.63,SKELETON,B,A,M,pelv,55+,skul,,
260,160,N,10,E,SE,52,3.7,5.3,4.8,4.2,1.8,well-wrapped,W,A,M,pelv,30+,skul,dkbrwn,Y
261,160,N,10,E,SE,53,3.54,5.37,4.28,4.07,1.95,SKELETON,B,A,M,pelv,55+,skul,,
262,160,N,10,E,SW,1,1.83,0,1.25,0,0.08,bones,B,C,S,skul,Infant,skul,,
263,160,N,10,E,SW,2,1.19,0.35,1.85,1.72,0.08,wrapped,H,C,S,pelv,9-10 years,skul,,
264,160,N,10,E,SW,3,1.23,0.35,1.89,1.72,0.08,headless skeleton,B,,,,,,,
265,160,N,10,E,SW,4,0.62,0,2.13,0,0.08,Skull only,B,C,S,skul,Under 6 yrs,skul,,
266,160,N,10,E,SW,5,4.3,0,3.7,0,0.15,Skull only,B,C,S,skul,10-Aug,skul,brown,Y
267,160,N,10,E,SW,6,4.1,0,3.9,0,0.25,Skull only,B,A,F,skul,30+,skul,br-red,Y
268,160,N,10,E,SW,7,1.53,0,3.17,0,0.15,Skull only,B,C,S,skul,Child,skul,,
269,160,N,10,E,SW,8,1.65,0,4.75,0,0.1,bones and skull,B,C,M,skul,12-Nov,skul,dkbrwn,Y
270,160,N,10,E,SW,9,1.5,0,3.2,0,0.35,Skull only,B,A,F,skul,20's,skul,dkbrwn,Y
271,160,N,10,E,SW,10,2.2,0,2.89,0,0.28,wrapped,B,C,F,pelv,4 years,skul,dkbrwn,Y
272,160,N,10,E,SW,11,0,0,4.9,0,0.63,Skull only,B,A,,skul,adult,skul,brown,Y
273,160,N,10,E,SW,12,4.9,4.2,4,4.2,0.63,well-wrapped,W,C,F,pelv,4 years,skul,brown,Y
274,160,N,10,E,SW,13,4.8,3.5,3.8,3.83,0.75,wrapped,H,A,F,pelv,20-25 yrs,skul,brown,Y
275,160,N,10,E,SW,14,4.8,4.4,3.6,3.5,0.8,wrapped,W,C,S,skul,0-6 months,skul,dkbrwn,Y
276,160,N,10,E,SW,15,4.13,4.32,3.82,3.8,0.87,wrapped,W,A,F,pelv,young,skul,dkbrwn,Y
277,160,N,10,E,SW,16,4.44,5,0.61,3.41,0.99,bones and skull,H,C,S,skul,10 months,skul,,N
278,160,N,10,E,SW,17,3.89,0,2.8,0,0.72,wrapped,H,A,F,pelv,50+,skul,dkbrwn,Y
279,160,N,10,E,SW,18,4.34,0,2.55,0,0.94,poorly preserved,W,A,,,adult,skul,,
280,160,N,10,E,SW,19,4.2,0,2.2,0,0.81,Wrapped,W,A,,,,,,
281,160,N,10,E,SW,20,2.7,3.43,1.6,1.77,0.77,wrapped,H,C,S,skul,6-May,skul,ltbrwn,Y
282,160,N,10,E,SW,21,4.21,4.74,3.65,3.62,1,wrapped,W,C,S,skul,7 months,skul,,
283,160,N,10,E,SW,22,4.06,4.61,3.55,3.44,0.96,wrapped,W,C,S,skul,7 months,skul,,
284,160,N,10,E,SW,23,4.13,0,3.71,0,1.1,wrapped,W,A,,,,,,
285,160,N,10,E,SW,24,1.42,3.05,1.15,0.7,0.7,wrapped,W,A,M,pelv,35-40,skul,brown,Y
286,160,N,10,E,SW,25,4.15,5.96,2.47,2.7,0.7,wrapped,W,A,M,pelv,25-35 years,skul,ltbrwn,Y
287,160,N,10,E,SW,26,3.55,5.24,3,2.65,1.1,wrapped,W,A,F,pelv,18,skul,br-red,Y
288,160,N,10,E,SW,27,1.05,1.65,4.95,4.8,0.42,wrapped - bones showing,H,C,S,skul,18 months,skul,,
289,160,N,10,E,SW,28,1.9,3.38,0.54,0.52,0.81,wrapped,W,C,S,pelv,13 years,skul,ltbrwn,Y
290,160,N,10,E,SW,29,4.16,5,3.73,3.68,1.04,wrapped,W,C,S,pelv,3-4 years,skul,brown,Y
291,160,N,10,E,SW,30,4.31,4.99,4.1,4.04,0.94,well-wrapped,W,C,S,pelv,,,,
292,160,N,10,E,SW,31,2.5,0,5,0,0.6,Skull only,B,A,,,,,,
293,160,N,10,E,SW,32,4.36,6.02,1.43,1.2,1.03,wrapped,W,A,M,pelv,40-50,skul,brown,Y
294,160,N,10,E,SW,33,5.24,0,1.39,0,1.05,poorly preserved,H,C,S,skul,newborn,skul,,
295,160,N,10,E,SW,34,3.78,5.43,0.9,0.81,1,poorly preserved,H,A,F,pelv,30-35,skul,,N
296,160,N,10,E,SW,35,3.66,5.42,2.8,2.69,1.42,well-wrapped,W,A,M,pelv,15-17 years,skul,br-red,Y
297,160,N,10,E,SW,36,2.96,3.02,3.98,3.95,0.96,wrapped,W,C,S,skul,newborn,skul,brown,Y
298,160,N,10,E,SW,37,0.3,1.55,3.16,3.06,0.85,headless skeleton,B,A,M,pelv,20,pelv,br-red,Y
299,160,N,10,E,SW,38,0.72,2,4.2,3.88,1.2,wrapped,H,C,S,pelv,14-15,skul,br-red,Y
300,160,N,10,E,SW,39,0.68,2.13,3.9,3.49,1.27,scattered bones with skull,B,A,F,pelv,30-40,skul,,
301,160,N,10,E,SW,40,1.55,2.32,1.06,1.02,1.6,bones and skull,B,C,S,skul,2-3 years,skul,,
302,160,N,10,E,SW,41,0.21,1.86,3.97,3.52,1.44,wrapped,W,A,F,pelv,20-24,skul,dkbrwn,Y
303,160,N,10,E,SW,42,4.09,4.92,1.88,1.52,1.4,poorly preserved,H,C,S,pelv,4-Mar,skul,,
304,160,N,10,E,SW,43,3.33,4.13,2.1,1.9,1.4,poorly preserved,H,C,S,pelv,3-5 years,skul,brown,Y
305,160,N,10,E,SW,44,3.13,4.92,2,1.52,1.52,poorly preserved,H,A,M,pelv,25-30 yrs,skul,brown,Y
306,160,N,10,E,SW,45,4.4,6,0.47,0.7,0.78,Body only,H,A,,,Adult,skul,,
307,160,N,10,E,SW,46,1.25,2.79,2.47,2.47,1.03,wrapped,W,A,F,pelv,18-22 yrs,skul,dkbrwn,Y
308,160,N,10,E,SW,47,1.16,1.87,1.98,2.07,1.1,poorly preserved,B,C,S,skul,18 mos,skul,,
309,160,N,10,E,SW,48,1.17,2.52,1.8,1.83,1.23,wrapped - bones showing,H,A,F,pelv,55+,skul,brown,Y
310,160,N,10,E,SW,49,2.78,5.2,2.83,2.72,1.75,SKELETON,B,C,S,skul,,,,
311,160,N,10,E,SW,50,0.32,0.3,0.08,0.65,0.34,bones and skull,B,C,S,skul,7-Jun,skul,brown,Y
312,160,N,10,E,SW,51,3.1,1.8,3.24,4.08,2.7,SKELETON,B,A,F,pelv,55-65,skul,dkbrwn,Y
313,160,N,10,E,SW,52,-0.7,0.84,1.85,1.4,0.6,poorly preserved,H,A,F,pelv,55+,skul,ltbrwn,Y
314,160,N,10,E,SW,53,0.7,0,2.1,1.7,2.1,poorly preserved,B,C,S,skul,3-4 years,skul,,
315,160,N,10,E,SW,54,3.65,5.3,2.92,2.63,2,poorly preserved,B,A,M,pelv,30-35,skul,dkbrwn,Y
316,160,N,10,E,SW,55,0.83,2.46,2.91,2.41,1.89,poorly preserved,B,A,M,pelv,25-30,skul,,
317,160,N,10,E,SW,56,3.8,4.46,3.86,3.8,2.04,poorly preserved,H,C,S,skul,4-5 years,skul,,
318,160,N,10,E,SW,57,2.93,4.84,1.84,1.86,2.78,poorly preserved,H,A,M,pelv,25-30,skul,,
319,160,N,10,E,SW,58,2.67,2.04,2.57,2.82,2,poorly preserved,H,C,S,skul,6 months,skul,,
320,160,N,10,E,SW,59,5.24,3.77,2.87,3.12,2.33,poorly preserved,B,A,M,pelv,55+,skul,,
321,160,N,10,E,SW,60,1.72,1.08,4.27,4.61,1.64,poorly preserved,H,C,S,skul,5 years,skul,,
322,160,N,30,E,SW,1,0.78,0,0.66,0,0.1,Skull only,B,A,F,skul,40+,skul,Red,Y
323,160,N,30,E,SW,2,4.05,0,4.3,0,0.5,bones and skull,B,A,,,30+,skul,,
324,160,N,30,E,SW,3,2.14,0,4.14,0,0.7,wrapped - bones showing,H,A,M,pelv,35-45,skul,,
325,160,N,30,E,SW,4,2.15,2.55,4.5,4.3,0.3,well-wrapped,W,C,S,skul,0-6 month,skul,,
326,160,N,30,E,SW,5,3.78,4.76,1.35,1.22,0.6,wrapped,W,A,F,pelv,25-35,pelv,,
327,160,N,30,E,SW,6,1.93,3.22,2.17,0,0.96,wrapped,H,A,M,pelv,45+,skul,,
328,160,N,30,E,SW,7,3.17,4.94,1.45,0,1.06,wrapped - bones showing,H,A,M,pelv,18-25,pelv,brown,Y
329,160,N,30,E,SW,9,1.35,0,1.88,0,1.25,Skull only,B,A,F,SKUL,25-30,SKUL,Brown,Y
330,160,N,30,E,SW,10,1.35,0,1.6,0,1.25,Skull only,B,A,M,skul,45+,skul,,
331,160,N,30,E,SW,11,3.48,4.28,0.68,0.64,1.4,wrapped,H,C,S,skull,4 years,skull,dkbrwn,Y
332,160,N,30,E,SW,12,3.54,4.32,0.45,0.38,1.68,well-wrapped,W,C,S,skul,4 years,skul,blond,Y
333,160,N,30,E,SW,13,3.26,4.22,0.48,0.5,1.56,wrapped,W,C,S,skul,4 years,skul,brown,Y
334,160,N,30,E,SW,14,3.9,0.75,0.92,0.25,1.57,wrapped - bones showing,H,C,S,skul,5 years,skul,,
335,160,N,30,E,SW,15,4.77,1.29,3.75,3.5,0.9,well-wrapped,W,A,F,pelv,25-30,pelv,,
336,160,N,30,E,SW,16,0.55,1.29,3.98,3.72,0.96,bones,H,A,F,pelv,adult,pelv,,
337,160,N,30,E,SW,17,3.67,4.36,4.06,3.87,1.34,well-wrapped,W,C,S,skul,3 years,skul,brown,Y
338,160,N,30,E,SW,18,3.74,4.29,3.47,3.36,1.39,well-wrapped,W,C,S,skul,9 months,skul,,
339,160,N,30,E,SW,19,3.46,4.45,3.54,3.31,1.45,well-wrapped,W,C,S,skul,5 years,skul,,
340,160,N,30,E,SW,20,1.5,2.4,2.26,1.7,1.57,bones and skull,B,A,F,pelv,25-30,skul,,
341,160,N,30,E,SW,21,1.85,3,2.6,2,1.77,headless skeleton,W,A,F,pelv,25-30,pelv,,
342,160,N,30,E,SW,22,1.87,3.35,4.82,4.8,0.71,wrapped - bones showing,B,A,F,pelv,30+,skul,dkbrwn,Y
343,160,N,30,E,SW,23,3.14,3.51,4.5,4.37,1.32,wrapped - bones showing,H,C,S,skul,0-6 months,skul,,
344,160,N,30,E,SW,24,2.46,3.16,4.65,4.58,0.66,wrapped - bones showing,H,C,S,skul,9-10 months,skul,,
345,160,N,30,E,SW,25,2.37,3.89,4.72,4.45,1.33,wrapped - bones showing,H,A,F,pelv,35+,pelv,dkbrwn,Y
346,160,N,30,E,SW,26,4.96,3.6,1.51,1.94,2.42,bones and skull,B,A,F,pelv,50+,pelv,,
347,160,N,30,E,SW,27,3.35,5.12,3.86,3.58,2.4,bones and skull,B,A,M,pelv,35+,pelv,dkbrwn,Y
348,160,N,30,E,SW,28,2.05,3.43,3.96,3.16,2.03,bones and skull,B,A,M,pelv,25-35,pelv,,
349,160,N,30,E,SW,29,2.82,4.08,0.89,4.38,2.54,bones and skull,B,A,F,pelv,15-17,pelv,,
350,160,N,30,E,SW,30,1.38,2.47,1.52,1.14,2.17,SKELETON,B,C,S,pelv,12-Oct,skul,,
351,190,N,20,E,SE,1,3.1,3.98,3.66,3.58,0.45,wrapped,W,C,S,skul,5 1/2 yrs.,skul,blond,Y
352,190,N,20,E,SE,2,0.1,1.57,2.12,1.42,0.45,bones and skull,B,A,M,pelv,30+,skul,brown,Y
353,190,N,20,E,SE,3,3.57,4.26,2.86,2.69,0.91,poorly preserved,B,C,S,pelv,6 years,skul,,
354,190,N,20,E,SE,4,3.4,0,2.7,0,0.88,Skull only,B,C,S,SKUL,5-Apr,skul,dkbrwn,Y
355,190,N,20,E,SE,5,3.37,4.47,2.86,2.75,1.06,wrapped,B,C,S,skul,5-Apr,skul,blond,Y
356,190,N,20,E,SE,6,3.14,4.93,3.23,2.72,0.93,well-wrapped,W,A,M,pelv,30-40,SKUL,,
357,190,N,20,E,SE,7,0.58,2,2.15,1.23,0.65,poorly preserved,W,A,M,pelv,20-30?,pelv,rd-bln,Y
358,190,N,20,E,SE,8,3.46,4.36,3.27,4.36,0.92,poorly preserved,H,C,S,pelv,4-5 years,skul,blond,Y
359,190,N,20,E,SE,9,3.04,4.01,3.56,3.39,0.92,well-wrapped,W,C,S,skul,5 1/2 yrs.,skul,brown,Y
360,190,N,20,E,SE,10,4.36,3.26,0.87,0.94,0.48,well-wrapped,W,C,F,pelv,7-10 yrs.,skul,br-red,Y
361,190,N,20,E,SE,11,3.86,3.03,1.32,0.96,0.61,well-wrapped,W,C,F,pelv,5 years,skul,blond,Y
362,190,N,20,E,SE,12,1.94,2.85,2.58,1.78,1.01,"wrapped, head showing",W,C,M,pelv,6-May,skul,dkbrwn,Y
363,190,N,20,E,SE,13,1.87,2.53,2.63,2.25,1.06,poorly preserved,W,C,S,pelv,5 years,skul,dkbrwn,Y
364,190,N,20,E,SE,14,2.17,2.88,2.91,2.57,1,wrapped,W,C,S,pelv,1 year,skul,blond,Y
365,190,N,20,E,SE,15,2.11,2.94,2.65,1.98,1.07,"wrapped, head showing",W,C,M,pelv,5 years,skul,,
366,190,N,20,E,SE,16,1.77,3.38,1.59,1.38,1.09,wrapped,W,A,F,pelv,30+,skul,,
367,190,N,20,E,SE,17,1.72,2.81,3.77,3.7,0.91,well-wrapped,W,A,F,pelv,50+,skul,blond,Y
368,190,N,20,E,SE,18,0.9,3.35,4,4.06,0.72,poorly preserved,H,C,S,pelv,Infant,skul,brown,Y
369,190,N,20,E,SE,19,3.19,4.95,1.67,1.65,1.2,poorly preserved,W,A,M,pelv,30-40?,pelv,,N
370,190,N,20,E,SE,20,3.05,4.67,1.17,0.8,1.1,well-wrapped,W,A,F,pelv,20-30,skul,brown,Y
371,190,N,20,E,SE,21,2.84,4.48,2.47,2.93,1.11,poorly preserved,W,A,F,pelv,20-30,skul,,
372,190,N,20,E,SE,22,3.17,4.11,4.54,4.21,1.01,wrapped,H,C,S,pelv,5 years,skul,brown,Y
373,190,N,20,E,SE,23,0.49,0,2.86,0,0.75,poorly preserved,W,C,S,skul,Newborn,skul,,
374,190,N,20,E,SE,24,4.95,3.41,3.26,3.17,0.97,wrapped,W,A,M,pelv,40+,skul,BROWN,Y
375,190,N,20,E,SE,25,2.33,3.74,2.84,2.25,1.33,poorly preserved,B,A,M,pelv,40,skul,blond,Y
376,190,N,20,E,SE,26,2.27,3.85,3.92,3.32,1.3,wrapped,W,A,F,pelv,18,skul,dkbrwn,Y
377,190,N,20,E,SE,27,3.26,4.56,0.61,0.16,0.9,Body only,H,A,F,pelv,20 years?,pelv,,
378,190,N,20,E,SE,28,1.13,1.88,1.6,2.02,1.31,poorly preserved,W,C,S,pelv,9-Aug,skul,,
379,190,N,20,E,SE,29,1.44,2.82,1.72,2.2,1.5,SKELETON,B,A,F,pelv,40++,pelv,,
380,190,N,20,E,SE,30,3.9,2.88,2.67,3.18,2.04,bones and skull,B,C,F,skul,10-Aug,skul,brown,Y
381,190,N,20,E,SE,31,4.82,3.4,3.28,2.61,1.4,SKELETON,B,A,M,pelv,40+,skul,blond,Y
382,190,N,20,E,SE,32,2.39,3.77,3.94,3.38,1.66,bones and skull,B,A,M,pelv,30-40,skul,blond,Y
383,190,N,20,E,SE,33,4.39,3.77,2.99,3.08,0.85,bones and skull,B,C,F,pelv,7-8 years,skul,brown,Y
384,190,N,20,E,SE,34,-0.08,1.29,1.76,0.99,0.85,bones and skull,B,A,M,pelv,40+,skul,blond,Y
385,190,N,20,E,SE,35,2.89,4.45,0.53,0.07,1.04,wrapped,W,A,M,pelv,35-40,skul,ltbrwn,Y
386,190,N,20,E,SE,36,2.45,3,0.67,0.37,1.29,wrapped,W,C,S,skul,Newborn,skul,,
387,190,N,20,E,SE,37,2.59,0,0.43,0,1.23,Skull only,B,C,S,skul,1-2 years,skul,,
388,190,N,20,E,SE,38,-0.2,1.28,1.84,1.25,1.26,SKELETON,H,A,F,pelv,20-25,skul,brown,Y
389,190,N,20,E,SE,39,1.62,0.42,0.36,1.22,1.34,bones and skull,H,A,F,pelv,20-30,skul,brown,Y
390,190,N,20,E,SE,40,0.37,0.92,1.84,1.67,1.26,wrapped - bones showing,W,C,S,pelv,0-6 months,skul,,
391,190,N,20,E,SE,41,0,1.53,2.06,1.42,1.38,well-wrapped,W,A,F,pelv,18-20,skul,black,Y
392,190,N,20,E,SE,42,2.73,4.37,0.75,0.19,1.62,wrapped,W,A,M,pelv,20-30,skul,,
393,190,N,20,E,SE,43,4.93,4.39,1.75,1.48,1.3,wrapped,W,C,S,pelv,0-6 months,skul,,
394,190,N,20,E,SE,44,1.27,1.94,2.08,1.81,2.15,bones and skull,B,C,S,pelv,7 years,skul,ltbrwn,Y
395,190,N,20,E,SE,45,1.91,1.35,3.6,3.61,1.97,SKELETON,B,C,F,pelv,6 years,skul,blond,Y
396,190,N,20,E,SE,46,4.5,3.1,0,0.66,2.06,SKELETON,B,A,F,pelv,30+,skul,dkbrwn,Y
397,190,N,20,E,SE,47,1.53,0.76,0.33,0.78,1.8,bones and skull,B,C,S,pelv,7-8 years,skul,brown,Y
398,190,N,20,E,SE,48,1.44,0,1.5,0,1.5,bones and skull,B,C,S,skul,Newborn,skul,,
399,140,N,0,E,NE,2000,2.5,3,2.5,3,2.5,bad,W,A,M,head,50,head,red,Y
400,140,N,0,E,NE,5,0,1.4,2.5,2.5,4.3,well wrapped,W,A,M,bones,34,teeth,brown,N
401,140,N,0,E,NE,7,2,4,3,3,5,null,W,A,M,null,null,null,null,Y
402,140,N,0,E,NE,6,2,4,3,3,4,null,W,A,M,null,null,null,null,Y
403,,N,,E,NE,,,,,,,,W,A,M,,,,,Y
559,,,,,,,,,,,,,,,,,,,,
418,140,N,0,E,NE,1,1,1,1,1,1,null,W,A,M,null,null,null,null,Y
438,200,S,200,E,SW,1,1,2,1,1,4,bad,W,C,F,,,,,Y
439,200,S,200,E,SW,2,4,4,2,3,1,,W,A,M,,,,,Y
458,100,N,1,E,NE,100,0,2,0,0,1,,W,A,M,,,,,Y
478,100,N,1,E,NE,1000,1,0,0,0,0,null,W,A,M,null,null,null,null,Y
479,100,N,1,E,NE,11111,0,0,0,0,0,,W,A,M,,,,,Y
583,140,N,40,E,SW,4,3.4,4.95,1.75,1.57,0.45,WRAPPED IN COARSE LINEN,W,A,,,,,,
498,180,N,40,E,NE,1,2.9,4.57,2.25,2.5,0.9,Fair,W,A,U,,,,,Y
499,180,N,40,E,NE,2,0.12,1.12,4.08,4.08,0.76,Disturbed below knees,W,A,U,,,,,Y
500,180,N,40,E,NE,3,3.01,3.83,2.98,2.98,1.25,,W,C,U,,,,,Y
518,140,N,40,E,NE,4,2.88,3.69,2.98,2.92,1.32,well wrapped,W,A,F,,,,reddish brown,Y
520,140,N,40,E,NE,4,2.88,3.69,2.98,2.92,1.32,well wrapped,W,A,F,,,,reddish brown,Y
521,180,N,40,E,NE,5,2.3,3.73,2.98,2.85,1.37,,W,A,U,,,,,Y
522,180,N,40,E,NE,6,1.32,1.92,2.71,2.73,1.32,,W,A,U,,,,,Y
523,180,N,40,E,NE,7,2.7,3.85,2.9,2.9,1.43,,W,A,M,,,,,Y
524,180,N,40,E,NE,8,1.5,1.9,3.8,3.8,1.2,,B,C,M,,,,,Y
525,180,N,40,E,NE,9,0.6,1.48,1.62,1.55,1.41,,W,A,U,,,,,Y
526,180,N,40,E,NE,10,3.06,3.46,1.76,1.75,1.55,CAT!,W,C,U,,,,,Y
527,180,N,40,E,NE,11,1.53,3.27,3.42,3.43,2.03,,B,A,U,,,,,Y
528,180,N,40,E,NE,12,2.85,1.3,2.45,2.25,2.3,,B,A,M,,,,,Y
529,180,N,40,E,NE,13,4.57,4.01,-0.2,0.1,0.23,,W,A,U,,,,,Y
530,180,N,40,E,NE,14,3.96,-0.1,0.95,0.8,1.15,,W,A,U,,,,,Y
579,180,N,40,E,SW,1,1.6,2.26,1.14,1.16,0.01,wrapped in bundle ,W,C,,,,,,
581,180,N,40,E,SW,3,1.7,1.9,1.8,1.9,0.3,neonate with no obvious cloth,B,C,,null,null,null,null,
582,180,N,40,E,SW,2,0.7,2.1,1.6,1.9,0.3,WRAPPED; YELLOW AND RED,W,A,F,,,,BROWN,
584,180,N,40,E,SW,5,2.12,3.73,2.9,3.37,0.32,,W,A,,,,,,
585,180,N,40,E,SW,6,1.24,2.55,4.16,4.55,0.31,WRAPPED,W,A,,,,,,
586,180,N,40,E,SW,7,1.6,1.65,3.84,3.9,0.37,HEAD ONLY,B,A,,,,,,
587,180,N,40,E,SW,8,1.47,2.6,2.27,2.15,0.21,FACE BUNDLE; MOSTLY SKELETON,B,A,,,,,,
588,180,N,40,E,SW,9,-0.3,1,1.9,1.4,0.7,SKELETON NO HEAD,B,A,,,,,,
589,180,N,40,E,SW,10,3.5,5,3.5,3.5,0.8,SKELETON WITH SOME TEXTILE FRAG,B,A,,,,,,
590,180,N,40,E,SW,11,2.95,3.7,4,4,0.9,MOSTLY SKELETON; COARSE TEXTILE ,B,C,,,,,,
591,180,N,40,E,SW,12,1.35,2.8,4.15,4.7,0.75,NO HEAD,B,A,,,,,,
592,180,N,40,E,SW,13,4.8,6,4,4.65,0.6,,W,A,,,,,,
593,180,N,40,E,NW,23,4.1,4.7,5,5,0.4,,W,A,,,,,,
594,180,N,40,E,NW,24,2.95,3.65,2.5,2.5,0.8,,W,A,,,,,,
595,180,N,40,E,NW,26,0.6,2.3,1.2,1,1.53,BEAUTIFUL BURIAL,W,A,,,,,,
596,180,N,40,E,NW,30,4,4.63,0.44,0.2,1.3,,W,C,,,,,,
597,180,N,40,E,NW,31,3.9,3.7,0.4,0.2,1.47,,W,C,,,,,,
598,180,N,40,E,NW,32,3.4,5,0.4,0.08,162,,W,C,,,,,,
599,180,N,40,E,NW,33,0.7,2.41,1.17,1.23,2,,W,A,,,,,,
600,180,N,40,E,NW,34,4.6,4.1,1.5,1.5,1.9,,B,C,,,,,,
601,180,N,40,E,NW,35,3.55,5.2,1.65,1.6,1.85,,W,A,,,,,,
602,180,N,40,E,NW,36,3.64,5.32,1.4,1.3,2.12,,W,A,,,,,,
603,180,N,40,E,NW,37,4.15,2.55,1.1,1.15,2.33,,B,A,,,,,,
